,MAPE
0,2.9739694061278144
1,2.7870800300075262
2,2.78976760359441
3,3.039248062391913
4,2.8035136739965245
5,2.8078266432171297
6,2.6774068374074425
7,2.6264669077433638
8,2.9863488278295414
9,2.92130231692029
10,3.05758922395771
11,2.9043679829108373
12,2.6256213307725527
13,3.0718485951314687
14,2.7395949103870065
15,2.7071203462799964
16,2.719091483163251
17,2.8750649350923076
18,2.830799698237381
19,2.7189047249723486
20,2.9128614265430497
21,3.1755821381811633
22,2.905333607737051
23,2.7758774607250962
24,2.9269340210165216
25,2.795943253625694
26,2.788646805616528
27,2.70276101132425
28,2.85689967750123
29,3.157778122735414
30,2.655965763485086
31,3.0001044815927904
32,2.6705976123144826
33,3.0225045562933146
34,2.6582420631359653
35,2.8064460330951633
36,2.966468107665687
37,2.7029376482748595
38,2.78431156009179
39,2.689151228422437
40,2.66840440486282
41,3.1892025469213166
42,2.6511655833498167
43,3.1767361934016765
44,3.109844155570902
45,2.7545104120753443
46,2.7034354139509986
47,2.81546369704535
48,2.943976359607017
49,2.693036083793785
50,2.70753215226672
51,2.8827541988383953
52,2.810930537673144
53,2.648370921968532
54,2.8417553444350094
55,2.8714890837942426
56,2.667226261733374
57,2.7885507828627456
58,2.6823670969724662
59,2.6833261466936116
60,3.3860095719358316
61,2.7535128083536065
62,3.0392008282407885
63,2.9095102273032722
64,2.7686645033034805
65,2.71628443714483
66,2.7526150878308813
67,2.740066573210857
68,2.9120941635809814
69,2.8814321402069005
70,2.9204793687426154
71,2.84542559482953
72,2.830030558567262
73,2.7646931872311993
74,2.6916770276625996
75,2.833958738177857
76,2.9584205975761435
77,2.7606566353730635
78,2.6923580474892943
79,2.7506750052272957
80,2.730595963648669
81,2.7903692901791364
82,2.644380021814647
83,2.8766690471406924
84,2.6657814381144784
85,2.7785123493133557
86,2.704306180009757
87,2.665763709885852
88,3.316769041776882
89,2.7917941275332083
90,3.1911839336927326
91,2.8715936161396827
92,2.7437377195385495
93,3.0686179426159934
94,2.645479849923016
95,2.824090676708442
96,2.8708560370457565
97,2.9851287308766032
98,3.1589022290967415
99,2.7121907781936514
100,2.839217294611078
101,2.768771258340022
102,2.780847492266219
103,2.948469796440511
104,3.031829623371289
105,2.9192297461772796
106,3.0164960787012265
107,2.8564589205161965
108,2.9331310509320256
109,2.7584796235002567
110,2.7275474672162674
111,3.315410055075245
112,2.9083273972116594
113,2.787084078291081
114,2.638492345250268
115,2.7712152109318473
116,2.645759268480459
117,2.7146054560536705
118,2.8732313563148892
119,3.0021897380365075
120,2.7438489475460694
121,2.7420110979862344
122,3.142795103325683
123,3.297843514892558
124,3.579477772963745
125,2.72250245655084
126,2.790874857241143
127,2.8148522198552115
128,2.814958333908345
129,2.690708703747769
130,2.907307224560854
131,3.0693924746816825
132,2.595805194100986
133,3.21281854175655
134,3.0808803241638554
135,3.093806562841029
136,2.6772723456442957
137,2.7156869859795827
138,2.8825124383819145
139,2.7024773203444767
140,2.737286350031725
141,3.1237809737917908
142,2.7391073376148896
143,3.0515013230655073
144,2.873092226797675
145,2.7567833924896394
146,2.7994339853802406
147,3.5667785340087383
148,2.8597618640509004
149,3.213312971434297
150,2.8345687491003866
151,2.7099411770603155
152,3.256433381679061
153,3.1148537670296963
154,2.8165247739666603
155,2.718450101067424
156,3.0269275843008394
157,2.8141439107306936
158,2.768130584091143
159,2.787916882594382
160,2.5300060193197424
161,2.583633958814919
162,3.0638719216158186
163,2.926176420630322
164,2.7526177977565207
165,2.80282204261842
166,2.9957906307275266
167,2.7635140725836087
168,2.793507734177162
169,2.8300951127174834
170,2.8305893576393903
171,2.7262062595188037
172,2.821617829426067
173,2.7105020757566876
174,2.781825433100417
175,2.7042255416318812
176,2.968111390801582
177,2.700765470409092
178,2.766472224442809
179,2.8427323153630666
180,2.7280806274968206
181,2.8215182675372397
182,2.8710802817275294
183,2.815904544889477
184,2.712000732609313
185,2.6453165832620633
186,2.9603811110812743
187,2.644191285659946
188,2.9037642790181954
189,3.0325167723911517
190,2.905697123272781
191,2.900617784424854
192,2.6927294802175417
193,2.8440204611999422
194,2.8545952143301023
195,2.941045477540497
196,2.876259135742453
197,2.638475074067365
198,2.8516689094239696
199,2.6913449821092805
200,2.8508124628405085
201,0.17574031226166154
