,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.029,0.051,-0.067,0.126,0.0,0.0,138106.0,142463.0,1.0
beta[BIOIDEAL],0.229,0.085,0.066,0.386,0.0,0.0,182293.0,154509.0,1.0
beta[BWRS],0.267,0.088,0.106,0.435,0.0,0.0,185353.0,154981.0,1.0
beta[MXBONNEL],0.081,0.089,-0.088,0.249,0.0,0.0,179304.0,152478.0,1.0
beta[HYSPR],0.12,0.053,0.02,0.219,0.0,0.0,142998.0,150966.0,1.0
beta[BWR-LS],0.168,0.087,0.0,0.329,0.0,0.0,182277.0,154169.0,1.0
beta[NRTL],0.13,0.084,-0.03,0.287,0.0,0.0,186681.0,154635.0,1.0
beta1[0],0.037,0.072,-0.101,0.171,0.0,0.0,170610.0,151670.0,1.0
beta1[1],-0.007,0.081,-0.159,0.147,0.0,0.0,182169.0,151528.0,1.0
beta1[2],0.021,0.086,-0.14,0.183,0.0,0.0,180883.0,153500.0,1.0
beta1[3],0.028,0.031,-0.031,0.087,0.0,0.0,122703.0,140586.0,1.0
beta1[4],-0.081,0.082,-0.237,0.073,0.0,0.0,187965.0,153799.0,1.0
beta1[5],-0.041,0.077,-0.188,0.103,0.0,0.0,171943.0,152965.0,1.0
beta2[0],0.01,0.057,-0.098,0.118,0.0,0.0,136990.0,144381.0,1.0
beta2[1],0.018,0.071,-0.119,0.149,0.0,0.0,129917.0,140190.0,1.0
beta2[2],-0.099,0.078,-0.247,0.047,0.0,0.0,128983.0,136045.0,1.0
beta2[3],-0.007,0.01,-0.027,0.011,0.0,0.0,104582.0,128948.0,1.0
beta2[4],0.014,0.063,-0.105,0.133,0.0,0.0,146064.0,142703.0,1.0
beta2[5],0.072,0.054,-0.03,0.172,0.0,0.0,146908.0,147050.0,1.0
