,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.051,0.085,-0.112,0.21,0.0,0.0,190495.0,147191.0,1.0
beta[API],0.021,0.09,-0.148,0.192,0.0,0.0,198066.0,158363.0,1.0
beta[PM],0.138,0.09,-0.03,0.31,0.0,0.0,206031.0,159665.0,1.0
beta[R1],0.016,0.091,-0.156,0.186,0.0,0.0,207877.0,158580.0,1.0
beta[R4],0.133,0.084,-0.026,0.291,0.0,0.0,209361.0,156653.0,1.0
beta[TAG],0.135,0.091,-0.036,0.305,0.0,0.0,196872.0,156315.0,1.0
beta1[0],-0.044,0.085,-0.203,0.115,0.0,0.0,153951.0,152276.0,1.0
beta1[1],-0.041,0.084,-0.201,0.113,0.0,0.0,171058.0,151136.0,1.0
beta1[2],-0.076,0.081,-0.23,0.077,0.0,0.0,174481.0,154779.0,1.0
beta1[3],0.016,0.063,-0.104,0.133,0.0,0.0,137159.0,147099.0,1.0
beta1[4],-0.038,0.083,-0.197,0.117,0.0,0.0,167618.0,152486.0,1.0
beta2[0],0.019,0.054,-0.083,0.121,0.0,0.0,112876.0,135839.0,1.0
beta2[1],0.056,0.077,-0.088,0.199,0.0,0.0,135645.0,142620.0,1.0
beta2[2],-0.025,0.041,-0.101,0.052,0.0,0.0,109435.0,135581.0,1.0
beta2[3],-0.016,0.018,-0.05,0.019,0.0,0.0,126314.0,141124.0,1.0
beta2[4],0.063,0.076,-0.078,0.209,0.0,0.0,135616.0,145009.0,1.0
