ID,Type,toluene (C07),benz (C08),benz (C09),benz (C10),benz (C11),benz (C12),benz (C13),benz (C14),benz (C15),benz (C16),cycloarom (C09),cycloarom (C10),cycloarom (C11),cycloarom (C12),cycloarom (C13),cycloarom (C14),cycloarom (C15),diarom C10,diarom C11,diarom C12,diarom C13,diarom C14,monocycloalk-C07,monocycloalk-C08,monocycloalk-C09,monocycloalk-C10,monocycloalk-C11,monocycloalk-C12,monocycloalk-C13,monocycloalk-C14,monocycloalk-C15,monocycloalk-C16,monocycloalk-C17,dicycloalk-C09,dicycloalk-C10,dicycloalk-C11,dicycloalk-C12,dicycloalk-C13,dicycloalk-C14,dicycloalk-C15,dicycloalk-C16,isoalk-C07,isoalk-C08,isoalk-C09,isoalk-C10,isoalk-C11,isoalk-C12,isoalk-C13,isoalk-C14,isoalk-C15,isoalk-C16,isoalk-C17,isoalk-C18,nalk-C07,nalk-C08,nalk-C09,nalk-C10,nalk-C11,nalk-C12,nalk-C13,nalk-C14,nalk-C15,nalk-C16,nalk-C17,flash_point,API,PM,TAG,R1,R4
RP-3-01,RP,0.000727283,0.005405736,0.012655911,0.019360263,0.014102284,0.010950445,0.006874829,0.005258889,0.001425686,0.000105462,0.000352858,0.004640624,0.013356225,0.00864042,0.009273647,0.002072893,0,4.21E-05,0.000122071,0.00121864,0.000452,0,0.0017162,0.010652932,0.038341276,0.032438568,0.067332925,0.042791178,0.044080018,0.017328481,0.006021062,0.001863217,0.000357821,0.006929883,0.017274502,0.030612903,0.025078141,0.017965571,0.007719083,0.002897969,0.000343389,0,0.003816168,0.018859809,0.056586874,0.057145207,0.051687618,0.04573206,0.03526252,0.015759341,0.00327351,0.00090268,0.000168316,0.001255361,0.008931741,0.019187549,0.041156899,0.056791484,0.043426442,0.028283199,0.015884956,0.005359333,0.001289199,0.000456392,48,51.5957206,45.4346838,49.9482046,50.1734025,47.7238383
RP-3-02,RP,0,0.000374777,0.000567887,0.000580732,0.00043808,0.001590358,0.00526353,0.013876388,0.000502333,0,0.000124984,0.000882887,0.001525232,0.001151313,0.000887206,0.000358462,0,9.62E-06,1.49E-05,0.000100908,1.46E-05,0,0,0.032959867,0.060970267,0.08088911,0.078895668,0.046799854,0.034712477,0.011333834,0.000967169,8.10E-05,0,0.029061533,0.15885399,0.146369047,0.079015626,0.075370483,0.023144684,0.00225894,0,0,3.01E-05,0.001729768,0.005507769,0.00619372,0.005908335,0.007181794,0.004927502,0.002065996,3.37E-05,0,0,0,0.006629408,0.007380077,0.014774283,0.015289035,0.013996612,0.011130282,0.006956506,0.000317313,0,0,47,51.5326959,46.1666262,50.6727373,49.6980416,49.4719179
RP-3-03,RP,0.000277703,0.0021798,0.005359164,0.008194716,0.005953717,0.005882039,0.011325491,0.007368989,0.000549874,0,0.000204274,0.002401811,0.006149049,0.00545738,0.003230278,0.000434796,0,2.43E-05,5.98E-05,0.000452087,9.33E-05,0,0.000924154,0.036347728,0.050095639,0.06075898,0.075194756,0.043543501,0.039854607,0.014111901,0.002959677,0.000910884,0,0.020451,0.100863544,0.091404326,0.065612625,0.042476267,0.016026617,0.003976654,3.10E-05,0,0.00292114,0.009080189,0.022680769,0.028342084,0.022416093,0.024691169,0.016812913,0.007775425,0.001424268,0.000323819,2.15E-05,0.00059418,0.007479398,0.012372394,0.023824412,0.030737396,0.025405292,0.018444218,0.010543225,0.002242715,0.000526954,0.000198074,46,51.4274576,44.2001656,48.7164634,49.7343863,46.3499976
RP-3-04,RP,0.001039492,0.011196397,0.033878097,0.042609204,0.021593588,0.013774683,0.008363388,0.004187639,0.001106171,0.000344808,0.000534223,0.003759107,0.016512092,0.013082654,0.007850303,0.001401332,0,0.000109385,0.000185699,0.000668517,0.00017772,0,0.001712641,0.006191591,0.026450016,0.025856959,0.040479327,0.028154018,0.02688873,0.014918122,0.00371341,0.001650184,0.000228706,0.00348177,0.008130299,0.016330264,0.013503993,0.01320946,0.003519998,0.000981279,3.98E-05,0.000396388,0.006012595,0.020557628,0.057209578,0.070220389,0.056846022,0.04790033,0.035075799,0.009575988,0.002770944,0.000916174,2.81E-05,0.001926078,0.010744077,0.029778668,0.054390535,0.067324327,0.052448175,0.03496694,0.017290134,0.004756289,0.000862539,0.000187277,48,50.525658,43.4063676,47.876378,48.6451193,45.3769084
RP-3-05,RP,0.000324394,0.003353705,0.026912612,0.036606877,0.016872098,0.006478462,0.000428051,0,0,0,0.000344123,0.005617755,0.011771012,0.003320296,0.000351339,0,0,0.001457955,0.001312698,0.000133163,0,0,0.002849622,0.010512135,0.028655464,0.107380347,0.092253327,0.05032883,0.00725508,0.000550525,0,0,0,0.006755741,0.025803493,0.042338429,0.020301688,0.002838113,4.32E-05,7.75E-06,0,0,0.007260977,0.006887756,0.049149892,0.074643353,0.042797738,0.021462297,0.005674123,0.000326698,7.21E-06,0,0,0.000444306,0.004837875,0.015915675,0.088878153,0.104722596,0.054532675,0.008777446,0.000489219,3.37E-05,0,0,48,50.0239313,44.3637659,48.7811766,48.0855651,44.7758774
RP-3-06,RP,0.000881762,0.008806958,0.026725255,0.021815322,0.009633428,0.006182727,0.003495621,0.001655173,0.000113019,0,0.000381381,0.003912309,0.012090319,0.008069852,0.004594399,0.000616836,0,0.000378869,0.000436802,0.001358238,0.000208608,0,0.002377853,0.011482871,0.061673478,0.05070352,0.064077626,0.0321029,0.021958941,0.009003997,0.001480306,0.000290088,0,0.002465916,0.017861126,0.029285397,0.018039923,0.014514693,0.00440543,0.00068542,0,9.54E-06,0.004068738,0.031014937,0.081578046,0.060679386,0.049571086,0.049572354,0.015669405,0.006427837,0.0008344,0.000191943,0,0.000914942,0.006850829,0.031240586,0.055220692,0.063217089,0.048085701,0.029096052,0.010062508,0.001634087,0.000235257,5.82E-05,45,49.5119096,41.3806628,45.789366,47.1525141,44.9546297
RP-3-07,RP,0.001164239,0.009819709,0.029268344,0.036382462,0.018776443,0.012368115,0.007009485,0.003357421,0.000431317,0,0.000397875,0.003020731,0.011462163,0.007118773,0.00376222,6.96E-05,0,0.000157841,0.0001798,0.000369934,0,0,0.002106859,0.008401637,0.046293762,0.040902399,0.055245227,0.036795069,0.032027066,0.015587632,0.005812632,0.000655608,0,0.002938572,0.015968471,0.031248815,0.022805842,0.017374988,0.008059461,0.002012428,4.92E-05,9.86E-05,0.005723362,0.022752624,0.068333053,0.066037669,0.057601529,0.046761382,0.026351682,0.0114006,0.002698104,0.000168675,0,0.00072982,0.008092573,0.02133086,0.047248615,0.049632428,0.040181447,0.023756736,0.009251997,0.002164954,0.000233751,4.74E-05,48,50.5357179,42.9952712,47.4465279,48.6801588,45.6951904
RP-3-08,RP,0.000567828,0.004007107,0.017791805,0.020278647,0.012629692,0.007883975,0.004245812,0.00205105,0.000730898,0,0.00088674,0.002299785,0.009198318,0.004723586,0.00263722,0.000327111,0,0.000174426,0.000247854,0.000158495,4.55E-05,0,0.003479829,0.014503526,0.046861108,0.111666338,0.079878173,0.062082949,0.026652203,0.024415996,0.004304475,0,0,0.007429049,0.028560339,0.045717376,0.027370833,0.012537572,0.005823118,0.000561505,0,0,0.006442278,0.012917203,0.05171214,0.066658951,0.045446648,0.047180915,0.028497474,0.024779316,0.011061882,0.000228353,0,0.00022407,0.002103202,0.008232278,0.024244643,0.027493758,0.021418557,0.01302777,0.008615026,0.006647309,0.000337989,0,46,51.7977134,44.2897314,48.8040169,49.6848924,46.6395792
RP-3-09,RP,0.001308098,0.007912075,0.020446986,0.032677822,0.019436298,0.013288272,0.006753267,0.004371125,0.000761468,0,0.000363152,0.002210351,0.009284629,0.007640967,0.006097773,0.000596393,0,0.001176429,0.003370624,0.004089097,0.001785565,0,0.003195802,0.006605746,0.018618052,0.028363851,0.061718619,0.047564692,0.034289685,0.013918022,0.003490978,0.001037071,0,0.002719544,0.014656021,0.035876773,0.023236833,0.012934042,0.003383807,0.000898649,0,0.000951621,0.006122586,0.013195937,0.033364859,0.086742726,0.074638305,0.064871319,0.029856427,0.009665698,0.002850531,0.000410986,0,0.003765102,0.008166885,0.014762993,0.037397519,0.060153599,0.045537153,0.03004549,0.01569496,0.004701036,0.000880383,0.000145312,47,52.0115781,44.6430546,49.2476682,50.4021809,44.8270788
RP-3-10,RP,0.000106664,0.003881155,0.041946209,0.01454991,0.004845934,0.004540768,0.004891755,0.003192045,0.000417312,0,0.001137037,0.000801612,0.0052022,0.004065002,0.002972044,8.88E-05,0,0.000401193,0.000317938,0.000219357,0,0,0.001939952,0.011844743,0.067172234,0.077785797,0.067906185,0.072137342,0.037971623,0.032830102,0.0027448,0,0,0.009372474,0.029060022,0.059092526,0.047779779,0.03022227,0.013883211,0.000902635,0,0,0.003686228,0.025586436,0.041949467,0.052525628,0.038658849,0.04435847,0.030831251,0.022290429,0.004375295,3.99E-05,0,0.000232033,0.001659991,0.011904933,0.011982682,0.014605658,0.014296315,0.01246413,0.009811262,0.002322976,0.000162282,3.31E-05,47,51.8170339,43.9832096,48.4582805,49.8792474,49.3842908
RP-3-11,RP,0.000578976,0.001900787,0.005416643,0.014054132,0.008841094,0.008188568,0.005538012,0.002025375,0,0,0.000316123,0.003274956,0.010756651,0.006392566,0.003013135,0.000100827,0,6.15E-05,0.000250176,0.000361938,0,0,0.007625748,0.011949517,0.018182933,0.046859784,0.088989218,0.064179173,0.041407135,0.014463288,0.001347206,0.000162573,0,0.0039235,0.033400573,0.066227688,0.035779919,0.021511034,0.007213117,0.000516421,0,9.85E-05,0.00398164,0.008117167,0.019672993,0.07078937,0.064326019,0.053830594,0.031984611,0.007834066,0.000735112,0,0,0.000882355,0.001601286,0.003178467,0.026177009,0.070389306,0.054626452,0.035572619,0.010555532,0.00073901,7.13E-05,2.62E-05,43,62.2279051,47.1231502,51.835774,59.2356047,45.08992
RP-3-12,RP,0.000612041,0.002853065,0.013794879,0.024281793,0.011932652,0.009882231,0.007382082,0.002631916,0.000161832,0,0.000526589,0.007876512,0.025810314,0.016989075,0.007644829,0.000698668,0,0.000178155,0.000434581,0.000642038,7.93E-05,0,0.003903223,0.009723776,0.022803314,0.056515283,0.077074761,0.063707102,0.046781534,0.019358517,0.002331441,0.000292975,0,0.006541446,0.029850092,0.058769993,0.045873211,0.032818884,0.00982544,0.001396862,0,0.000511196,0.002693221,0.005436355,0.027325364,0.062474827,0.048471266,0.069495384,0.027766851,0.005047701,0.000956089,8.23E-05,0,0.003992723,0.008609049,0.02176514,0.029476145,0.027899619,0.025284002,0.00853708,0.001970654,0.000174736,4.99E-05,0,45,52.7224228,45.2529993,49.8693289,50.4727928,44.6387028
RP-3-13,RP,6.39E-05,0.000294155,0.002515788,0.003490102,0.001609853,0.001752218,0.000388992,0.000111364,0,0,0.000164421,0.000758703,0.002146373,0.000598116,5.53E-05,0,0,0,0,0,0,0,0.004186147,0.011934588,0.050943872,0.10932203,0.10412733,0.054656591,0.012427575,0.002777178,0.001959137,0.001733647,0.001022705,0.009173588,0.046698419,0.072094673,0.026343295,0.004904328,0.001620623,0.000674017,0.000101431,0.000141895,0.003757358,0.01566688,0.095624521,0.102738025,0.07067908,0.032071976,0.006045703,0.003626733,0.003618026,0.002678633,0.001772977,0.000767459,0.002417326,0.010929166,0.04374553,0.036007309,0.023459019,0.005336924,0.002354673,0.002237702,0.001944623,0.001727985,44,49.4520825,43.1745505,47.6271751,47.7783819,45.9084501
RP-3-14,RP,0.000133146,0.001996852,0.011954512,0.021601201,0.014667617,0.012730498,0.007343844,0.003479919,0.000362543,0,0.002565099,0.017115543,0.024291269,0.013148104,0.00543812,0.000385901,0,0.000199612,0.000402182,0.00088611,0.000136283,0,0.00038298,0.004753709,0.027699097,0.071707816,0.081242401,0.045082851,0.034221419,0.018320555,0.006587621,0.000278078,0,0.005884717,0.033250699,0.03848708,0.024689561,0.016026,0.007052,0.000745291,0,0,0.000948231,0.005893117,0.042096163,0.093969737,0.072459984,0.061050337,0.046291256,0.030096956,0.007208181,0.000652681,0,0,0.000251908,0.002395844,0.012934451,0.017594036,0.016997412,0.015460396,0.013111381,0.004685931,0.000538738,0.000113031,56,59.0697509,53.3331991,57.8341152,54.4537329,55.3345601
RP-3-15,RP,0.000980181,0.012616439,0.033381203,0.027233212,0.018602765,0.00665787,0.001759907,0.000213819,0,0,0.000720002,0.00452833,0.009596175,0.00534893,0.00131062,3.54E-05,0,0.001209982,0.001431485,0.000808931,0,0,0.000902688,0.008443168,0.039227783,0.095969548,0.071066379,0.036545809,0.019109226,0.004198677,0.000255004,0,0,0.006557236,0.021913141,0.025593522,0.017329453,0.006282666,0.000883012,0,0,0,0.00511074,0.027037519,0.037012443,0.043335595,0.037550218,0.033773889,0.01644369,0.005411267,0.000566181,6.87E-05,0,0.000233191,0.009546079,0.042246262,0.079612227,0.09074696,0.059652947,0.023170237,0.006076597,0.001348602,0.000284901,5.92E-05,45,49.2418343,42.8915869,47.2608991,46.7702968,45.1832815
