ID,Type,density,BIOIDEAL,BWRS,BWR-LS,HYSPR,MXBONNEL,NRTL,MR_avg,y_pred,std,Error
BF-01,BF,794.9,788.986,789.879608,780.928,775.9,783.46402,776.691828,782.641576,799.45,0.940602,0.572399044
FT-SPK-01,FT-SPK,753.8,766.358,757.112022,739.182,753.459,761.024394,760.312356,756.2412953,758.655,2.34778,0.644070045
FT-SPK-02,FT-SPK,751.7,760.758,751.40738,734.491,751.241,756.242519,755.969821,751.6849533,754.625,1.85381,0.389117999
FT-SPK-03,FT-SPK,747.9,755.876,756.616017,742.788,747.229,754.363008,748.490454,750.8937465,759.718,2.42231,1.580157775
RP-3-01,RP,792.3,789.878,788.411832,779.738,762.248,785.747663,779.487267,780.9184603,789.682,0.788196,0.330430393
RP-3-02,RP,827.6,831.396,836.406507,833.634,819.639,829.674034,822.087333,828.8061457,833.361,6.48137,0.696109232
RP-3-03,RP,812.9,813.112,815.333626,810.624,794.98,810.098942,802.161555,807.7183538,812.428,1.57807,0.058063722
RP-3-04,RP,786.1,785.965,782.794269,774.202,758.841,782.623117,776.548339,776.8289542,784.15,1.64584,0.248060043
RP-3-05,RP,786.3,788.209,784.491348,777.95,756.722,787.303271,782.777019,779.5754397,785.076,0.653313,0.155665776
RP-3-06,RP,782.7,785.346,782.201574,774.981,757.966,783.477875,776.699115,776.778594,784.479,0.695154,0.227290149
RP-3-07,RP,789.7,789.293,787.770297,780.164,766.141,786.198374,779.651092,781.5362938,790.302,1.4064,0.07623148
RP-3-08,RP,794.4,798.363,796.25844,789.731,771.204,793.88823,787.36175,789.4677367,795.795,0.812001,0.17560423
RP-3-09,RP,791.2,789.831,786.32822,777.257,767.564,785.938655,780.309553,781.204738,790.802,0.79666,0.050303337
RP-3-10,RP,802.5,805.483,802.365468,796.415,786.769,800.642261,793.550454,797.5375305,806.152,1.31573,0.455077882
RP-3-11,RP,793.9,794.677,791.65499,782.964,766.357,790.69627,784.944067,785.2155545,793.819,0.687129,0.010202796
RP-3-12,RP,804.2,805.885,803.295034,796.26,759.985,801.406388,796.094315,793.8209562,805.914,1.10218,0.213131062
RP-3-13,RP,785.4,787.455,788.955158,782.504,765.955,786.866796,779.961448,781.949567,787.888,1.41052,0.316781258
RP-3-14,RP,802.1,802.923,801.18554,792.815,755.662,797.77466,791.290982,790.275197,804.035,1.12286,0.24124174
RP-3-15,RP,779.4,786.03,781.098801,774.455,760.931,783.955238,778.436906,777.4844908,784.069,0.73341,0.599050552
RP-3-16,RP,794.6,793.203,792.964635,784.681,779.277,787.154455,781.484419,786.4607515,803.496,0.987962,1.11955701
RP-3-17,RP,783.4,788.761,786.694278,780.842,751.506,789.19097,784.264684,780.209822,784.783,1.38736,0.176538167
RP-3-18,RP,785.5,785.909,781.577983,771.534,768.824,781.278184,775.682508,777.4676125,786.185,2.43748,0.087205602
RP-3-19,RP,780.5,783.379,777.79103,770.577,764.72,782.137843,777.214967,775.9699733,779.861,0.596501,0.081870596
RP-3-20,RP,788.3,791.089,786.160532,777.814,765.117,787.712053,782.381672,781.7123762,791.85,0.56984,0.450336166
RP-3-21,RP,805.8,806.559,804.535725,797.577,760.666,801.791651,796.516955,794.6077218,806.978,1.07036,0.146190122
RP-3-22,RP,789.7,789.616,787.822985,780.374,759.682,787.335906,781.105163,780.9893423,787.087,1.3933,0.330885146
RP-3-23,RP,793.8,793.33,790.600316,782.435,761.04,789.849519,784.024656,783.5465818,792.026,0.554904,0.223481985
RP-3-24,RP,781.5,782.898,779.127767,770.897,758.956,780.748802,775.141424,774.6281655,782.348,0.842501,0.108509277
RP-3-25,RP,778.5,785.545,782.026823,776.329,768.121,785.48097,778.862612,779.3942342,780.242,0.575523,0.223763648
RP-3-26,RP,785.2,789.861,788.838807,782.242,768.923,787.667995,779.885518,782.9030533,789.952,1.49468,0.605196128
RP-3-27,RP,785.9,786.768,782.689193,774.236,756.299,783.835644,778.402223,777.0383433,783.935,1.53261,0.250031811
RP-3-28,RP,785,788.563,786.395881,779.151,759.475,785.569326,777.716157,779.478394,786.096,1.39509,0.139617834
RP-3-29,RP,797.5,795.882,795.134349,786.23,768.493,790.526842,784.184545,786.7417893,799.288,1.03025,0.224200627
RP-3-30,RP,798.9,799.444,799.149206,792.325,766.993,795.736702,788.915815,790.4272872,799.92,1.17741,0.127675554
RP-3-31,RP,784,784.25,781.084207,771.606,763.411,780.703867,775.241656,776.049455,782.696,1.92102,0.166326531
RP-3-32,RP,803.6,807.745,807.064951,801.297,770.237,804.370461,798.141912,798.1427207,806.931,1.62669,0.414509706
RP-3-33,RP,783,789.997,787.338212,781.58,755.023,790.209717,784.809573,781.492917,784.933,0.650478,0.246871009
RP-3-34,RP,789.7,796.72,793.276279,786.021,756.649,794.566436,789.487311,786.1200043,792.526,0.788718,0.357857414
RP-3-35,RP,789.2,795.531,792.509316,784.593,759.81,792.3356,786.720649,785.2499275,791.995,1.60742,0.354156107
RP-3-36,RP,785,790.964,788.234363,779.783,761.052,787.568252,781.834902,781.5727528,791.193,0.534848,0.788917197
RP-3-37,RP,782.7,789.383,785.169549,777.042,760.543,786.340449,780.706827,779.8641375,789.227,0.59224,0.833908266
RP-3-38,RP,791,796.266,795.812022,788.475,770.382,792.555818,785.873598,788.2274063,796.723,0.948527,0.723514539
RP-3-39,RP,802.9,805.819,803.021525,796.662,763.261,803.683941,798.398559,795.1410042,803.149,2.14738,0.031012579
RP-3-40,RP,794.7,798.768,798.501665,790.846,769.888,794.113935,787.154782,789.8787303,801.921,1.27192,0.908644772
RP-3-41,RP,815.3,820.295,821.525628,814.726,754.537,814.128241,806.99806,805.3683215,818.651,1.84776,0.411014351
RP-3-42,RP,784.1,787.506,783.900394,777.2,758.059,787.085569,781.773786,779.2541248,784.858,0.655773,0.096671343
RP-3-43,RP,785.7,787.157,783.950189,776.54,744.001,787.67146,782.028218,776.8913112,783.434,1.54665,0.288405244
RP-3-44,RP,785.7,789.344,785.779856,778.952,749.316,789.179729,783.954829,779.421069,784.649,1.4269,0.133766068
RP-3-45,RP,778.8,785.721,780.762482,774.659,765.647,784.912893,779.369993,778.5120613,782.271,0.755743,0.44568567
RP-3-46,RP,785.7,785.302,781.653777,773.331,758.28,781.799446,776.389923,776.1260243,784.354,0.770069,0.171312206
RP-3-47,RP,806.5,807.569,807.045073,800.932,772.75,803.765214,797.092373,798.1922767,807.62,2.4055,0.138871668
RP-3-48,RP,801,803.239,804.846664,799.576,774.31,800.684173,793.899856,796.0926155,804.63,2.17044,0.453183521
RP-3-49,RP,786.5,791.257,787.372159,779.505,757.367,788.722866,783.560902,781.2974878,789.718,0.546954,0.409154482
RP-3-50,RP,791,796.029,794.769976,787.108,756.93,791.788422,784.311675,785.1561788,793.074,0.699091,0.262199747
RP-3-51,RP,785.4,791.128,787.473198,781.141,756.238,789.63536,783.463862,781.5132367,785.844,0.724107,0.056531704
RP-3-52,RP,786.4,792.196,787.307903,780.134,753.122,790.289008,784.543661,781.2654287,788.082,0.642124,0.213886063
RP-3-53,RP,786.3,788.875,784.029162,774.553,755.906,784.922288,780.410978,778.1160713,790.825,0.655054,0.575480097
RP-3-54,RP,785.1,787.568,784.349435,777.404,754.675,786.865186,781.443536,778.7175262,784.583,0.631981,0.065851484
RP-3-55,RP,788.5,792.293,788.096619,781.127,763.803,790.201462,784.403532,783.3207688,787.691,1.51601,0.102599873
RP-3-56,RP,782.6,785.875,783.367494,776.994,761.05,785.818286,780.489704,778.932414,784.213,0.679232,0.206107846
RP-3-57,RP,797.4,798.413,795.608884,788.225,766.098,794.641118,788.596174,788.5970293,796.988,1.66526,0.051667921
RP-3-58,RP,787.1,789.071,786.105737,778.74,759.942,787.587579,781.578029,780.5040575,785.525,1.35881,0.200101639
