ID,Type,density,BIOIDEAL,BWRS,BWR-LS,HYSPR,MXBONNEL,NRTL,average MR,y_pred,y_std,Error
BF-01,BF,794.9,788.986,789.879608,780.928,775.9,783.46402,776.691828,782.641576,791.832498,0.956668358,0.38589785
FT-SPK-01,FT-SPK,753.8,766.358,757.112022,739.182,753.459,761.024394,760.312356,756.2412953,758.2108137,6.415519564,0.585143766
FT-SPK-02,FT-SPK,751.7,760.758,751.40738,734.491,751.241,756.242519,755.969821,751.6849533,762.6401603,5.83101419,1.455389158
FT-SPK-03,FT-SPK,747.9,755.876,756.616017,742.788,747.229,754.363008,748.490454,750.8937465,752.543544,7.518570348,0.620877651
RP-3-01,RP,792.3,789.878,788.411832,779.738,762.248,785.747663,779.487267,780.9184603,787.3533787,0.725127984,0.624336904
RP-3-02,RP,827.6,831.396,836.406507,833.634,819.639,829.674034,822.087333,828.8061457,845.6755174,10.20174388,2.184088616
RP-3-03,RP,812.9,813.112,815.333626,810.624,794.98,810.098942,802.161555,807.7183538,815.5507767,4.929506849,0.326088903
RP-3-04,RP,786.1,785.965,782.794269,774.202,758.841,782.623117,776.548339,776.8289542,784.5591232,1.058380855,0.196015363
RP-3-05,RP,786.3,788.209,784.491348,777.95,756.722,787.303271,782.777019,779.5754397,785.6688872,1.020609898,0.080263609
RP-3-06,RP,782.7,785.346,782.201574,774.981,757.966,783.477875,776.699115,776.778594,782.2720521,1.381959607,0.054675855
RP-3-07,RP,789.7,789.293,787.770297,780.164,766.141,786.198374,779.651092,781.5362938,790.4218145,0.590720891,0.091403634
RP-3-08,RP,794.4,798.363,796.25844,789.731,771.204,793.88823,787.36175,789.4677367,797.7123978,1.69292934,0.416968508
RP-3-09,RP,791.2,789.831,786.32822,777.257,767.564,785.938655,780.309553,781.204738,787.2749936,0.763895636,0.49608271
RP-3-10,RP,802.5,805.483,802.365468,796.415,786.769,800.642261,793.550454,797.5375305,805.8073891,3.044611033,0.412135718
RP-3-11,RP,793.9,794.677,791.65499,782.964,766.357,790.69627,784.944067,785.2155545,792.1548477,0.989056854,0.219820169
RP-3-12,RP,804.2,805.885,803.295034,796.26,759.985,801.406388,796.094315,793.8209562,801.3549206,2.957362127,0.35377759
RP-3-13,RP,785.4,787.455,788.955158,782.504,765.955,786.866796,779.961448,781.949567,791.0706437,0.694330846,0.722007094
RP-3-14,RP,802.1,802.923,801.18554,792.815,755.662,797.77466,791.290982,790.275197,797.9470689,2.415973726,0.517757281
RP-3-15,RP,779.4,786.03,781.098801,774.455,760.931,783.955238,778.436906,777.4844908,782.8456233,1.322830285,0.442086646
RP-3-16,RP,794.6,793.203,792.964635,784.681,779.277,787.154455,781.484419,786.4607515,795.5282843,1.220350639,0.116824101
RP-3-17,RP,783.4,788.761,786.694278,780.842,751.506,789.19097,784.264684,780.209822,787.1617406,1.179160012,0.480181339
RP-3-18,RP,785.5,785.909,781.577983,771.534,768.824,781.278184,775.682508,777.4676125,785.9165043,1.240009124,0.053024103
RP-3-19,RP,780.5,783.379,777.79103,770.577,764.72,782.137843,777.214967,775.9699733,784.8438317,1.263152414,0.556544739
RP-3-20,RP,788.3,791.089,786.160532,777.814,765.117,787.712053,782.381672,781.7123762,790.3364926,0.63749166,0.258339788
RP-3-21,RP,805.8,806.559,804.535725,797.577,760.666,801.791651,796.516955,794.6077218,802.1333097,3.088623576,0.455037272
RP-3-22,RP,789.7,789.616,787.822985,780.374,759.682,787.335906,781.105163,780.9893423,789.1506106,0.693895824,0.069569381
RP-3-23,RP,793.8,793.33,790.600316,782.435,761.04,789.849519,784.024656,783.5465818,791.8757454,0.904353621,0.242410509
RP-3-24,RP,781.5,782.898,779.127767,770.897,758.956,780.748802,775.141424,774.6281655,779.7043363,1.890411426,0.229771432
RP-3-25,RP,778.5,785.545,782.026823,776.329,768.121,785.48097,778.862612,779.3942342,787.9876409,0.81422079,1.218707886
RP-3-26,RP,785.2,789.861,788.838807,782.242,768.923,787.667995,779.885518,782.9030533,792.119627,0.725182608,0.881256621
RP-3-27,RP,785.9,786.768,782.689193,774.236,756.299,783.835644,778.402223,777.0383433,784.3064539,1.039616751,0.202767031
RP-3-28,RP,785,788.563,786.395881,779.151,759.475,785.569326,777.716157,779.478394,787.6804116,0.713937978,0.341453707
RP-3-29,RP,797.5,795.882,795.134349,786.23,768.493,790.526842,784.184545,786.7417893,794.1355742,1.254859941,0.421871576
RP-3-30,RP,798.9,799.444,799.149206,792.325,766.993,795.736702,788.915815,790.4272872,798.4850136,2.174480737,0.051944721
RP-3-31,RP,784,784.25,781.084207,771.606,763.411,780.703867,775.241656,776.049455,784.0615404,1.316169586,0.007849546
RP-3-32,RP,803.6,807.745,807.064951,801.297,770.237,804.370461,798.141912,798.1427207,807.4846514,4.009387677,0.483406095
RP-3-33,RP,783,789.997,787.338212,781.58,755.023,790.209717,784.809573,781.492917,789.4426928,0.98775977,0.822821561
RP-3-34,RP,789.7,796.72,793.276279,786.021,756.649,794.566436,789.487311,786.1200043,793.5661313,1.684243713,0.489569616
RP-3-35,RP,789.2,795.531,792.509316,784.593,759.81,792.3356,786.720649,785.2499275,793.5284958,1.422073566,0.548466272
RP-3-36,RP,785,790.964,788.234363,779.783,761.052,787.568252,781.834902,781.5727528,790.0648406,0.6548127,0.645202625
