ID,Type,flash_point,API,PM,TAG,R1,R4,MR_avg,y_pred,std,Error
BF-01,BF,33,52.2386377,43.2274413,47.8361744,50.2124165,44.7274103,47.64841604,45.17,0.214707,36.87878788
FT-SPK-01,FT-SPK,57,65.3263839,57.9754674,62.533871,63.5319986,54.5080371,60.7751516,59.8181,1.4605,4.944035088
FT-SPK-02,FT-SPK,55,62.8577319,55.4137752,59.9897704,60.3382325,49.3808388,57.59606976,50.3501,0.56626,8.454363636
FT-SPK-03,FT-SPK,50,52.0323526,46.4059575,50.7528701,48.1230923,48.4224505,49.1473446,46.7395,0.182095,6.521
RP-3-01,RP,48,51.5957206,45.4346838,49.9482046,50.1734025,47.7238383,48.97516996,47.4378,0.290202,1.17125
RP-3-02,RP,47,51.5326959,46.1666262,50.6727373,49.6980416,49.4719179,49.50840378,46.7521,0.186378,0.527446809
RP-3-03,RP,46,51.4274576,44.2001656,48.7164634,49.7343863,46.3499976,48.0856941,46.3053,0.214424,0.663695652
RP-3-04,RP,48,50.525658,43.4063676,47.876378,48.6451193,45.3769084,47.16608626,45.8404,0.472138,4.499166667
RP-3-05,RP,48,50.0239313,44.3637659,48.7811766,48.0855651,44.7758774,47.20606326,46.9734,0.225683,2.13875
RP-3-06,RP,45,49.5119096,41.3806628,45.789366,47.1525141,44.9546297,45.75781644,43.922,0.307299,2.395555556
RP-3-07,RP,48,50.5357179,42.9952712,47.4465279,48.6801588,45.6951904,47.07057324,45.6575,0.239929,4.880208333
RP-3-08,RP,46,51.7977134,44.2897314,48.8040169,49.6848924,46.6395792,48.24318666,46.5793,0.45551,1.259347826
RP-3-09,RP,47,52.0115781,44.6430546,49.2476682,50.4021809,44.8270788,48.22631212,46.1572,0.190628,1.793191489
RP-3-10,RP,47,51.8170339,43.9832096,48.4582805,49.8792474,49.3842908,48.70441244,45.8916,0.31596,2.358297872
RP-3-11,RP,43,62.2279051,47.1231502,51.835774,59.2356047,45.08992,53.1024708,45.1811,0.457109,5.072325581
