ID,Type,flash_point,API,PM,TAG,R1,R4,average MR,y_pred,y_std,Error
BF-01,BF,33,52.2386377,43.2274413,47.8361744,50.2124165,44.7274103,47.64841604,45.76454865,0.634098772,38.68045045
FT-SPK-01,FT-SPK,57,65.3263839,57.9754674,62.533871,63.5319986,54.5080371,60.7751516,51.94356413,1.22037935,8.870940123
FT-SPK-02,FT-SPK,55,62.8577319,55.4137752,59.9897704,60.3382325,49.3808388,57.59606976,51.08662742,1.591492948,7.115222873
FT-SPK-03,FT-SPK,50,52.0323526,46.4059575,50.7528701,48.1230923,48.4224505,49.1473446,47.07106971,0.551669509,5.85786058
RP-3-01,RP,48,51.5957206,45.4346838,49.9482046,50.1734025,47.7238383,48.97516996,46.43160055,0.456619346,3.267498854
RP-3-02,RP,47,51.5326959,46.1666262,50.6727373,49.6980416,49.4719179,49.50840378,47.54391781,0.560814436,1.157271936
RP-3-03,RP,46,51.4274576,44.2001656,48.7164634,49.7343863,46.3499976,48.0856941,45.89453456,0.483356982,0.229272696
RP-3-04,RP,48,50.525658,43.4063676,47.876378,48.6451193,45.3769084,47.16608626,46.62808514,0.264080178,2.858155958
RP-3-05,RP,48,50.0239313,44.3637659,48.7811766,48.0855651,44.7758774,47.20606326,45.38340564,0.547714903,5.45123825
RP-3-06,RP,45,49.5119096,41.3806628,45.789366,47.1525141,44.9546297,45.75781644,44.58185821,0.908723202,0.929203978
RP-3-07,RP,48,50.5357179,42.9952712,47.4465279,48.6801588,45.6951904,47.07057324,45.32143562,0.578369247,5.580342458
RP-3-08,RP,46,51.7977134,44.2897314,48.8040169,49.6848924,46.6395792,48.24318666,47.05316287,0.222738387,2.2894845
RP-3-09,RP,47,52.0115781,44.6430546,49.2476682,50.4021809,44.8270788,48.22631212,46.30642428,0.548829837,1.475693021
RP-3-10,RP,47,51.8170339,43.9832096,48.4582805,49.8792474,49.3842908,48.70441244,46.30968088,0.528033331,1.468764085
RP-3-11,RP,43,62.2279051,47.1231502,51.835774,59.2356047,45.08992,53.1024708,48.45002725,1.063490433,12.67448198
RP-3-12,RP,45,52.7224228,45.2529993,49.8693289,50.4727928,44.6387028,48.59124932,46.10104148,0.462554786,2.446758844
RP-3-13,RP,44,49.4520825,43.1745505,47.6271751,47.7783819,45.9084501,46.78812802,45.50543375,0.73056529,3.421440341
RP-3-14,RP,56,59.0697509,53.3331991,57.8341152,54.4537329,55.3345601,56.00507164,50.39013057,1.28292224,10.01762398
RP-3-15,RP,45,49.2418343,42.8915869,47.2608991,46.7702968,45.1832815,46.26957972,45.05900715,0.796833096,0.131127
RP-3-16,RP,47,52.2630241,47.4212762,51.8944004,50.1925388,50.5493885,50.4641256,47.32032311,0.561324176,0.681538532
RP-3-17,RP,44,49.0619283,43.0080024,47.3577043,47.2384191,45.8612379,46.5054584,46.39633209,0.317204473,5.446209295
RP-3-18,RP,44,59.452241,45.0928577,49.8192881,54.7628664,38.5307388,49.5315984,47.28726604,0.490787733,7.471059182
RP-3-19,RP,48,49.8606453,46.3618437,50.6871354,47.9592157,50.717203,49.11720862,47.4942487,0.322316743,1.053648542
RP-3-20,RP,44,51.3447976,42.389794,46.9363712,49.3280978,41.9678442,46.39338096,44.79183435,0.807337537,1.799623523
RP-3-21,RP,44,53.4963515,45.3815534,50.0011113,50.8685398,43.9213749,48.73378618,47.17116315,0.234111412,7.207188977
RP-3-22,RP,46,50.7068624,43.9733825,48.4402553,48.9122171,46.376296,47.68180266,46.84664347,0.243849099,1.840529283
RP-3-23,RP,47,51.5870206,44.7338445,49.2701811,50.1726254,45.8251869,48.3177717,46.47475138,0.537194305,1.117550255
RP-3-24,RP,47,50.6241267,44.8071396,49.2196051,48.7595274,47.3849465,48.15906906,45.97634439,0.495412498,2.17799066
RP-3-25,RP,40,48.1941901,40.8902792,45.2143931,45.2045267,45.0747826,44.91563434,44.12240782,0.873933721,10.30601955
RP-3-26,RP,45,49.5766638,42.294906,46.7335256,48.0718595,46.4779579,46.63098256,45.36796032,0.78759375,0.8176896
RP-3-27,RP,43,51.5343027,44.0004264,48.548058,49.7172054,44.4683781,47.65367412,45.59874795,0.512258195,6.043599884
